term_id,ledger_class,owner,mathematical_definition,conjugate_input,conjugate_rate,sign_in_balance,stage_1_2_status,double_count_guard,verification_id
E_CELL_AREA,stored_energy,cell_passive,"sum_s [gamma_s*A_s + 0.5*kA_s*A0_s*(A_s/A0_s-1)^2]",cell nodal position,cell nodal velocity,lhs_time_derivative,enabled,"gamma is passive only; no active contraction ownership",ENERGY-CELL-DERIVATIVE
E_CELL_BEND,stored_energy,cell_passive,"sum_e 0.5*kb_e*(l_e^2/A_diamond_e)*(theta_e-theta0_e)^2",cell nodal position,cell nodal velocity,lhs_time_derivative,enabled,"one oriented hinge contribution per mesh edge",ENERGY-CELL-DERIVATIVE
E_CELL_VOL,stored_energy,cell_passive,"0.5*kV*V0*(V/V0-1)^2",cell volume,volume rate,lhs_time_derivative,enabled,"target volume frozen in Stage 1-2",ENERGY-CELL-DERIVATIVE
E_CC_ADH,stored_energy,cell_cell_pair,"integral_contact_area (phi_n+phi_t)",pair gap and tangential relative displacement,pair relative velocity,lhs_time_derivative,enabled,"same pair potential owns both sides; not external work",CONTACT-ACTION-REACTION
E_CE_ADH,stored_energy,cell_ECM_pair,"integral_contact_area (phi_n+phi_t)",pair gap and tangential relative displacement,pair relative velocity,lhs_time_derivative,enabled,"same pair potential owns cell and ECM sides; not external work",CONTACT-ACTION-REACTION
E_ACTIVE,stored_energy,myocardial_preferred_length_controller,"0.5*kf*(Lf-Lf_star)^2",Lf and Lf_star,Lf_dot and Lf_star_dot,lhs_time_derivative,frozen_stage2_not_authorized,"stored active-spring energy is distinct from controller input power",ACTIVE-POWER-SIGN
E_ECM_EQ,stored_energy,ECM_equilibrium,"integral 0.5*mu_eq*(tr(C_bar)-3)+0.5*kappa_eq*(ln J)^2 dV0",F,F_dot,lhs_time_derivative,enabled,"A_hat and H_ECM_hat frozen and do not own a source term",ECM-ENERGY-DERIVATIVE
E_ECM_VE,stored_energy,ECM_viscoelastic_branch,"integral 0.25*mu_ve*||dev(C_bar)-Z||_F^2 dV0",F and Z,F_dot and Z_dot,lhs_time_derivative,enabled,"paired with D_ECM_INTERNAL exactly once",ECM-RELAXATION
E_SUPPORT,stored_energy,compliant_environment,"sum 0.5*k_support*||x-y_env||^2",relative support displacement,relative velocity,lhs_time_derivative,enabled,"solver gauge is not included here",SUPPORT-LEDGER
D_CELL,dissipation,cell_drag,"sum zeta_i*||v_i||^2",cell nodal velocity,cell nodal velocity,lhs_positive,enabled,"reported once for all DCM nodes",DISSIPATION-NONNEGATIVE
D_ECM_INTERNAL,dissipation,ECM_internal_variable,"integral eta_ve*||Z_dot||_F^2 dV0",thermodynamic force -dW_ve/dZ,Z_dot,lhs_positive,enabled,"must equal -dW_ve/dZ:Z_dot",ECM-RELAXATION
D_CONTACT,dissipation,contact_friction,"0 in v01 primary route",none,none,lhs_positive,frozen_zero,"conservative adhesion remains in stored energy; friction is disabled",DISSIPATION-NONNEGATIVE
D_SUPPORT,dissipation,compliant_environment,"sum c_support*||v-y_env_dot||^2",relative support velocity,relative support velocity,lhs_positive,enabled,"not merged with cell drag",SUPPORT-LEDGER
P_ACTIVE_CONTROL,input_power,preferred_length_controller,"(dPsi_act/dLf_star)*Lf_star_dot = -kf*(Lf-Lf_star)*Lf_star_dot",Lf_star,Lf_star_dot,rhs_positive,frozen_stage2_not_authorized,"do not negate again; do not merge with E_ACTIVE",ACTIVE-POWER-SIGN
P_PRESSURE,input_power,blood_pressure_port,"sum_apical A_face*t_p dot v_face",pressure traction,apical face velocity,rhs_positive,enabled,"only endocardial apical faces; no direct ECM pressure",LOAD-PRESSURE-NORMAL
P_WSS,input_power,blood_WSS_port,"sum_apical A_face*t_tau dot v_face",WSS traction,apical face velocity,rhs_positive,enabled,"only endocardial apical faces; separate from chi_E",LOAD-WSS-TANGENTIAL
P_ENVIRONMENT,input_power,moving_support_reference,"sum (dPsi_support/dy_env) dot y_env_dot",support reference position,support reference velocity,rhs_positive,zero_for_fixed_environment,"fixed environment gives zero; damping remains D_SUPPORT",SUPPORT-LEDGER
X_CHI_E,excluded_nonmechanical,flow_sensor,"tau_chi*chi_E_dot=G(||tau_w||)-chi_E",WSS magnitude,chi_E evolution,excluded,diagnostic_only,"WSS mechanical input already owned by P_WSS",SENSOR-CHI-EXCLUDED
X_INTERNAL_PAIR_TRANSFER,excluded_internal_transfer,cell_cell_and_cell_ECM_pairs,"f_A=-f_B",pair displacement,pair relative velocity,excluded,enabled,"pair power cancels in whole-patch external ledger",CONTACT-ACTION-REACTION
X_KKT_OR_GAUGE,excluded_constraint_reaction,numerical_constraint,"constraint reaction power must be zero within tolerance",constraint multiplier,constraint rate,excluded,diagnostic_only,"never relabel as external support or dissipation",GAUGE-ZERO-POWER
X_A_H_TURNOVER,excluded_frozen_process,ECM_turnover,"A_dot=0 and H_ECM_dot=0",A_hat and H_ECM_hat,zero,excluded,frozen_zero,"A_hat and H_ECM_hat remain separate",AH-SEPARATION
X_J_MYO,excluded_frozen_process,myocardial_basal_source,"j_myo=0",basal source map,zero,excluded,frozen_zero,"mapping is tested but source power and mass flux are zero",SOURCE-JMYO-ZERO
R_POWER,power_residual,whole_patch,"dPsi_total/dt + D_total - P_input_total",all registered terms,time,rhs_minus_lhs,required,"each ledger term has exactly one owner",POWER-INTEGRATED-RESIDUAL
